frame,time_s,lateral_offset_m,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode
210,64.273,-0.0016,-0.0,4.782,-0.0007,0.065,0.0,AUTO
211,64.374,-0.0016,-0.0,4.792,-0.0007,0.062,0.0,AUTO
212,64.505,-0.0016,-0.0,4.791,-0.0007,0.063,0.0,AUTO
213,64.604,-0.0016,-0.0,4.805,-0.0007,0.058,0.0,AUTO
214,64.705,-0.0016,-0.0,4.802,-0.0007,0.059,0.0,AUTO
215,64.806,-0.0016,-0.0,4.797,-0.0007,0.061,0.0,AUTO
216,64.907,-0.0016,-0.0,4.804,-0.0007,0.059,0.0,AUTO
217,65.008,-0.0016,-0.0,4.801,-0.0007,0.06,0.0,AUTO
218,65.102,-0.0016,-0.0,4.798,-0.0007,0.061,0.0,AUTO
219,65.203,-0.0016,-0.0,4.801,-0.0007,0.06,0.0,AUTO
220,65.307,-0.0016,-0.0,4.804,-0.0007,0.059,0.0,AUTO
221,65.404,-0.0016,-0.0,4.807,-0.0007,0.058,0.0,AUTO
222,65.504,-0.0016,0.0,4.801,-0.0007,0.06,0.0,AUTO
223,65.603,-0.0016,0.0,4.798,-0.0007,0.061,0.0,AUTO
224,65.706,-0.0016,0.0,4.798,-0.0007,0.061,0.0,AUTO
225,65.808,-0.0016,0.0,4.8,-0.0007,0.06,0.0,AUTO
226,65.911,-0.0016,0.0,4.808,-0.0007,0.058,0.0,AUTO
227,66.041,-0.0016,0.0,4.803,-0.0007,0.059,0.0,AUTO
228,66.138,-0.0016,0.0,4.795,-0.0007,0.061,0.0,AUTO
229,66.24,-0.0016,0.0,4.797,-0.0007,0.061,0.0,AUTO
230,66.341,-0.0016,0.0,4.801,-0.0007,0.06,0.0,AUTO
231,66.437,-0.0016,0.0,4.8,-0.0007,0.06,0.0,AUTO
232,66.538,-0.0016,0.0,4.799,-0.0007,0.06,0.0,AUTO
233,66.643,-0.0016,0.0,4.803,-0.0007,0.059,0.0,AUTO
234,66.74,-0.0016,0.0,4.797,-0.0007,0.061,0.0,AUTO
235,66.872,-0.0016,-0.0,4.798,-0.0007,0.061,0.0,AUTO
236,67.006,-0.0016,-0.0,4.802,-0.0007,0.059,0.0,AUTO
237,67.104,-0.0016,-0.0,4.805,-0.0007,0.058,0.0,AUTO
238,67.237,-0.0016,-0.0,4.804,-0.0007,0.059,0.0,AUTO
239,67.372,-0.0016,-0.0,4.8,-0.0007,0.06,0.0,AUTO
240,67.47,-0.0016,-0.0,4.8,-0.0007,0.06,0.0,AUTO
241,67.572,-0.0016,-0.0,4.799,-0.0007,0.06,0.0,AUTO
242,67.705,-0.0016,-0.0,4.799,-0.0007,0.06,0.0,AUTO
243,67.806,-0.0016,-0.0,4.801,-0.0007,0.06,0.0,AUTO
244,67.939,-0.0016,-0.0,4.802,-0.0007,0.059,0.0,AUTO
245,68.039,-0.0016,-0.0,4.801,-0.0007,0.06,0.0,AUTO
246,68.173,-0.0016,-0.0,4.805,-0.0007,0.059,0.0,AUTO
247,68.274,-0.0016,-0.0,4.803,-0.0007,0.059,0.0,AUTO
248,68.373,-0.0016,0.0,4.8,-0.0007,0.06,0.0,AUTO
