frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows,curvature
151,54.229,-0.0016,0.0,3.02,1.0,0.0,0.006,AUTO,0.0,-0.5,False,1,0.0
152,54.335,-0.0016,0.0,2.974,1.0,0.008,0.0,AUTO,0.0,-0.5,False,0,0.0
153,54.428,-0.0016,0.0,2.836,-1.0,0.049,0.0,AUTO,0.0,-0.5,False,1,0.0
154,54.529,-0.0016,0.0,2.737,-1.0,0.079,0.0,AUTO,0.0,-0.5,False,1,0.0
155,54.628,-0.0016,0.0,2.797,-1.0,0.061,0.0,AUTO,0.0,-0.5,False,1,0.0
156,54.729,-0.0016,0.0,2.899,-1.0,0.03,0.0,AUTO,0.0,-0.5,False,1,0.0
157,54.829,-0.0016,0.0,2.969,1.0,0.009,0.0,AUTO,0.0,-0.5,False,1,0.0
158,54.934,-0.0016,0.0,2.997,1.0,0.001,0.0,AUTO,0.0,-0.5,False,1,0.0
159,55.036,-0.0016,0.0,2.964,1.0,0.011,0.0,AUTO,0.0,-0.5,False,2,0.0
160,55.16,-0.0016,0.0,2.834,1.0,0.05,0.0,AUTO,0.0,-0.5,False,1,0.0
161,55.265,-0.0016,0.0,2.661,-1.0,0.102,0.0,AUTO,0.0,-0.5,False,1,0.0
162,55.398,-0.0016,0.0,2.646,-1.0,0.106,0.0,AUTO,0.0,-0.5,False,1,0.0
163,55.494,-0.0016,0.0,2.782,-1.0,0.065,0.0,AUTO,0.0,-0.5,False,1,0.0
164,55.632,-0.0016,0.0,2.931,1.0,0.021,0.0,AUTO,0.0,-0.5,False,1,0.0
165,55.729,-0.0016,0.0,3.06,1.0,0.0,0.018,AUTO,0.0,-0.5,False,1,0.0
166,55.827,-0.0016,0.0,3.0,1.0,0.0,0.0,AUTO,0.0,-0.5,False,1,0.0
167,55.962,-0.0016,0.0,2.868,1.0,0.04,0.0,AUTO,0.0,-0.5,False,1,0.0
168,56.061,-0.0016,0.0,2.757,-1.0,0.073,0.0,AUTO,0.0,-0.5,False,1,0.0
169,56.162,-0.0016,0.0,2.728,-1.0,0.082,0.0,AUTO,0.0,-0.5,False,1,0.0
170,56.262,-0.0016,0.0,2.791,-1.0,0.063,0.0,AUTO,0.0,-0.5,False,1,0.0
171,56.36,-0.0016,0.0,2.916,-1.0,0.025,0.0,AUTO,0.0,-0.5,False,1,0.0
172,56.494,-0.0016,0.0,2.996,1.0,0.001,0.0,AUTO,0.0,-0.5,False,1,0.0
173,56.595,-0.0016,0.0,3.061,1.0,0.0,0.018,AUTO,0.0,-0.5,False,1,0.0
174,56.694,-0.0016,0.0,3.0,1.0,0.0,0.0,AUTO,0.0,-0.5,False,1,0.0
175,56.795,-0.0016,0.0,2.86,-1.0,0.042,0.0,AUTO,0.0,-0.5,False,0,0.0
176,56.897,-0.0016,0.0,2.742,-1.0,0.077,0.0,AUTO,0.0,-0.5,False,2,0.0
177,57.0,-0.0016,0.0,2.795,-1.0,0.061,0.0,AUTO,0.0,-0.5,False,2,0.0
178,57.096,-0.0016,0.0,2.901,-1.0,0.03,0.0,AUTO,0.0,-0.5,False,1,0.0
179,57.198,-0.0016,0.0,2.956,1.0,0.013,0.0,AUTO,0.0,-0.5,False,0,0.0
180,57.298,-0.0016,0.0,2.981,1.0,0.006,0.0,AUTO,0.0,-0.5,False,1,0.0
181,57.399,-0.0016,0.0,2.933,1.0,0.02,0.0,AUTO,0.0,-0.5,False,1,0.0
182,57.496,-0.0016,0.0,2.796,1.0,0.061,0.0,AUTO,0.0,-0.5,False,0,0.0
183,57.599,-0.0016,0.0,2.674,-1.0,0.098,0.0,AUTO,0.0,-0.5,False,1,0.0
184,57.711,-0.0016,0.0,2.648,-1.0,0.106,0.0,AUTO,0.0,-0.5,False,1,0.0
185,57.828,-0.0016,0.0,2.764,-1.0,0.071,0.0,AUTO,0.0,-0.5,False,1,0.0
186,57.931,-0.0016,0.0,2.898,1.0,0.03,0.0,AUTO,0.0,-0.5,False,1,0.0
187,58.031,-0.0016,0.0,2.98,1.0,0.006,0.0,AUTO,0.0,-0.5,False,1,0.0
188,58.13,-0.0016,0.0,2.957,1.0,0.013,0.0,AUTO,0.0,-0.5,False,1,0.0
189,58.228,-0.0016,0.0,2.832,1.0,0.05,0.0,AUTO,0.0,-0.5,False,0,0.0
190,58.334,-0.0016,0.0,2.734,-1.0,0.08,0.0,AUTO,0.0,-0.5,False,2,0.0
191,58.427,-0.0016,0.0,2.671,-1.0,0.099,0.0,AUTO,0.0,-0.5,False,2,0.0
192,58.566,-0.0016,0.0,2.753,-1.0,0.074,0.0,AUTO,0.0,-0.5,False,2,0.0
193,58.662,-0.0016,0.0,2.913,-1.0,0.026,0.0,AUTO,0.0,-0.5,False,0,0.0
194,58.762,-0.0016,0.0,2.988,1.0,0.004,0.0,AUTO,0.0,-0.5,False,1,0.0
195,58.861,-0.0016,0.0,3.05,1.0,0.0,0.015,AUTO,0.0,-0.5,False,1,0.0
196,58.995,-0.0016,0.0,2.995,1.0,0.002,0.0,AUTO,0.0,-0.5,False,1,0.0
197,59.097,-0.0016,0.0,2.777,-1.0,0.067,0.0,AUTO,0.0,-0.5,False,1,0.0
198,59.198,-0.0016,0.0,2.689,-1.0,0.093,0.0,AUTO,0.0,-0.5,False,1,0.0
199,59.3,-0.0016,0.0,2.76,-1.0,0.072,0.0,AUTO,0.0,-0.5,False,1,0.0
200,59.398,-0.0016,0.0,2.861,-1.0,0.042,0.0,AUTO,0.0,-0.5,False,1,0.0
201,59.531,-0.0016,0.0,2.919,1.0,0.024,0.0,AUTO,0.0,-0.5,False,1,0.0
202,59.627,-0.0016,0.0,2.995,1.0,0.001,0.0,AUTO,0.0,-0.5,False,1,0.0
203,59.761,-0.0016,0.0,2.935,1.0,0.02,0.0,AUTO,0.0,-0.5,False,1,0.0
204,59.864,-0.0016,0.0,2.733,-1.0,0.08,0.0,AUTO,0.0,-0.5,False,1,0.0
205,59.997,-0.0016,0.0,2.65,-1.0,0.105,0.0,AUTO,0.0,-0.5,False,2,0.0
206,60.095,-0.0016,0.0,2.736,-1.0,0.079,0.0,AUTO,0.0,-0.5,False,1,0.0
207,60.233,-0.0016,0.0,2.847,1.0,0.046,0.0,AUTO,0.0,-0.5,False,1,0.0
208,60.331,-0.0016,0.0,2.94,1.0,0.018,0.0,AUTO,0.0,-0.5,False,1,0.0
209,60.427,-0.0016,0.0,2.917,1.0,0.025,0.0,AUTO,0.0,-0.5,False,1,0.0
210,60.53,-0.0016,0.0,2.776,1.0,0.067,0.0,AUTO,0.0,-0.5,False,0,0.0
211,60.627,-0.0016,0.0,2.661,-1.0,0.102,0.0,AUTO,0.0,-0.5,False,2,0.0
212,60.733,-0.0016,0.0,2.634,-1.0,0.11,0.0,AUTO,0.0,-0.5,False,1,0.0
213,60.83,-0.0016,0.0,2.717,-1.0,0.085,0.0,AUTO,0.0,-0.5,False,1,0.0
214,60.934,-0.0016,0.0,2.865,-0.2929,0.289,0.0,AUTO,0.0,-0.5,False,0,0.0
215,61.033,-0.0016,0.0,2.98,1.0,0.006,0.0,AUTO,0.0,-0.5,False,1,0.0
216,61.13,-0.0016,0.0,3.119,1.0,0.0,0.036,AUTO,0.0,-0.5,False,2,0.0
217,61.229,-0.0016,0.0,3.031,1.0,0.0,0.009,AUTO,0.0,-0.5,False,1,0.0
218,61.331,-0.0016,0.0,2.903,1.0,0.029,0.0,AUTO,0.0,-0.5,False,0,0.0
219,61.428,-0.0016,0.0,2.796,-1.0,0.061,0.0,AUTO,0.0,-0.5,False,1,0.0
220,61.528,-0.0016,0.0,2.739,-1.0,0.078,0.0,AUTO,0.0,-0.5,False,1,0.0
221,61.631,-0.0016,0.0,2.795,-1.0,0.061,0.0,AUTO,0.0,-0.5,False,1,0.0
222,61.727,-0.0016,0.0,2.892,1.0,0.033,0.0,AUTO,0.0,-0.5,False,0,0.0
223,61.831,-0.0016,0.0,2.952,1.0,0.014,0.0,AUTO,0.0,-0.5,False,1,0.0
224,61.93,-0.0016,0.0,2.93,1.0,0.021,0.0,AUTO,0.0,-0.5,False,1,0.0
